,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.008,15.688,16.39
1,2,70,0.008,16.562,15.439
2,3,70,0.007,18.938,18.527
3,4,70,0.007,19.25,17.102
4,5,70,0.007,19.312,19.477
5,6,70,0.007,20.312,20.665
6,7,70,0.007,22.5,21.378
7,8,70,0.007,22.438,23.278
8,9,70,0.007,26.562,25.416
9,10,70,0.007,27.188,25.178
10,11,70,0.007,31.562,25.178
11,12,70,0.006,31.438,25.891
12,13,70,0.006,33.625,24.941
13,14,70,0.006,36.875,26.841
14,15,70,0.006,38.688,24.941
15,16,70,0.006,39.438,28.741
16,17,70,0.006,42.438,30.641
17,18,70,0.006,43.25,31.591
18,19,70,0.005,47.25,32.067
19,20,70,0.005,49.875,31.354
20,21,70,0.005,52.562,31.591
21,22,70,0.005,55.062,34.204
22,23,70,0.004,58.5,29.216
23,24,70,0.004,56.5,36.105
24,25,70,0.004,61.062,32.779
25,26,70,0.004,63.438,35.154
26,27,70,0.003,65.438,35.154
27,28,70,0.003,67.938,35.154
28,29,70,0.003,69.25,37.055
29,30,70,0.003,73.25,34.679
30,31,70,0.003,73.688,36.58
31,32,70,0.003,74.125,36.105
32,33,70,0.002,76.312,37.767
33,34,70,0.002,79.375,37.767
34,35,70,0.002,79.25,36.342
35,36,70,0.002,81.938,35.867
36,37,70,0.002,81.062,39.43
37,38,70,0.002,83.438,35.867
38,39,70,0.002,83.188,36.342
39,40,70,0.002,82.25,35.629
40,41,70,0.002,84.625,33.254
41,42,70,0.001,86.062,36.342
42,43,70,0.001,87.688,36.817
43,44,70,0.001,89.625,37.767
44,45,70,0.001,90.125,37.292
45,46,70,0.001,91.125,36.342
46,47,70,0.001,91.625,38.48
47,48,70,0.001,93.938,39.667
48,49,70,0.001,92.312,39.905
49,50,70,0.001,93.812,39.192
50,51,70,0.001,94.0,39.192
51,52,70,0.001,94.875,38.717
52,53,70,0.001,96.25,37.292
53,54,70,0.001,95.438,36.342
54,55,70,0.001,96.062,38.005
55,56,70,0.001,96.125,39.43
56,57,70,0.001,96.688,39.192
57,58,70,0.001,96.562,38.005
58,59,70,0.0,97.562,38.005
59,60,70,0.0,97.562,36.58
60,61,70,0.0,97.312,38.242
61,62,70,0.0,98.125,38.005
62,63,70,0.0,98.188,40.143
63,64,70,0.0,97.688,40.38
64,65,70,0.0,97.5,39.905
65,66,70,0.0,98.312,38.717
66,67,70,0.0,98.062,38.48
67,68,70,0.0,98.438,40.855
68,69,70,0.0,98.75,37.767
69,70,70,0.0,99.0,36.342
