,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.008,17.75,20.19
1,2,70,0.008,19.062,22.328
2,3,70,0.007,22.5,24.228
3,4,70,0.007,21.25,22.803
4,5,70,0.007,20.5,24.466
5,6,70,0.007,24.938,24.466
6,7,70,0.007,25.5,29.216
7,8,70,0.007,28.125,30.404
8,9,70,0.007,28.562,29.929
9,10,70,0.007,30.25,30.404
10,11,70,0.007,29.375,32.067
11,12,70,0.006,32.875,29.691
12,13,70,0.006,32.812,32.779
13,14,70,0.006,36.688,33.492
14,15,70,0.006,35.25,33.492
15,16,70,0.006,37.812,33.729
16,17,70,0.006,40.375,31.829
17,18,70,0.006,43.0,35.867
18,19,70,0.006,44.25,33.017
19,20,70,0.006,45.188,35.629
20,21,70,0.005,48.188,34.679
21,22,70,0.005,49.25,33.967
22,23,70,0.005,52.938,32.779
23,24,70,0.005,52.188,33.967
24,25,70,0.005,55.938,35.867
25,26,70,0.004,58.625,36.105
26,27,70,0.004,60.062,34.917
27,28,70,0.004,63.812,37.055
28,29,70,0.004,63.875,36.105
29,30,70,0.004,66.812,35.392
30,31,70,0.004,66.812,35.867
31,32,70,0.004,67.25,34.917
32,33,70,0.003,70.625,34.442
33,34,70,0.003,73.438,36.817
34,35,70,0.003,72.562,36.817
35,36,70,0.003,74.875,34.917
36,37,70,0.003,75.312,37.055
37,38,70,0.003,76.75,33.254
38,39,70,0.003,76.438,34.679
39,40,70,0.002,79.562,36.342
40,41,70,0.002,82.5,33.967
41,42,70,0.002,81.812,33.254
42,43,70,0.002,84.375,35.867
43,44,70,0.002,84.438,34.679
44,45,70,0.002,84.938,33.967
45,46,70,0.002,87.0,34.679
46,47,70,0.002,86.875,33.492
47,48,70,0.002,87.875,35.629
48,49,70,0.001,89.375,34.917
49,50,70,0.001,89.812,35.867
50,51,70,0.001,89.438,34.442
51,52,70,0.001,91.938,33.254
52,53,70,0.001,90.75,34.442
53,54,70,0.001,93.062,37.055
54,55,70,0.001,93.938,34.204
55,56,70,0.001,94.125,35.867
56,57,70,0.001,94.688,34.917
57,58,70,0.001,93.625,36.105
58,59,70,0.001,94.312,35.392
59,60,70,0.001,94.875,36.342
60,61,70,0.001,96.375,35.629
61,62,70,0.001,95.562,34.204
62,63,70,0.001,96.75,36.342
63,64,70,0.001,96.75,36.58
64,65,70,0.001,97.25,36.58
65,66,70,0.001,97.125,35.392
66,67,70,0.001,96.625,35.867
67,68,70,0.001,97.0,35.629
68,69,70,0.001,97.812,33.729
69,70,70,0.0,97.75,34.679
