,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.01,15.056,14.777
1,2,70,0.01,15.389,17.611
2,3,70,0.01,14.056,13.968
3,4,70,0.01,15.778,15.992
4,5,70,0.01,17.667,16.599
5,6,70,0.009,18.889,17.409
6,7,70,0.009,19.889,21.255
7,8,70,0.009,19.667,20.445
8,9,70,0.009,20.278,20.243
9,10,70,0.009,19.833,19.028
10,11,70,0.009,22.722,21.255
11,12,70,0.009,21.944,22.065
12,13,70,0.009,25.444,21.862
13,14,70,0.009,25.167,22.874
14,15,70,0.008,27.944,24.494
15,16,70,0.008,29.0,22.672
16,17,70,0.008,29.889,24.899
17,18,70,0.008,33.333,20.445
18,19,70,0.008,31.278,22.672
19,20,70,0.007,35.556,22.267
20,21,70,0.007,37.5,20.85
21,22,70,0.007,38.944,21.862
22,23,70,0.007,40.333,21.66
23,24,70,0.006,42.833,24.291
24,25,70,0.006,43.167,22.47
25,26,70,0.006,45.667,23.684
26,27,70,0.006,48.0,23.684
27,28,70,0.006,49.611,22.267
28,29,70,0.005,50.722,25.304
29,30,70,0.005,52.333,23.279
30,31,70,0.005,55.278,23.482
31,32,70,0.005,55.5,25.506
32,33,70,0.005,58.389,25.101
33,34,70,0.005,55.222,22.672
34,35,70,0.004,58.444,23.077
35,36,70,0.004,62.056,25.506
36,37,70,0.004,62.389,24.494
37,38,70,0.004,63.722,23.887
38,39,70,0.004,64.278,24.696
39,40,70,0.004,66.778,24.899
40,41,70,0.003,69.944,25.911
41,42,70,0.003,68.333,25.304
42,43,70,0.003,70.5,24.089
43,44,70,0.003,73.889,24.291
44,45,70,0.003,73.833,26.113
45,46,70,0.003,72.5,27.53
46,47,70,0.003,75.056,24.089
47,48,70,0.003,76.0,24.089
48,49,70,0.003,77.889,24.291
49,50,70,0.003,76.444,25.506
50,51,70,0.002,79.167,25.911
51,52,70,0.002,80.111,25.709
52,53,70,0.002,78.667,25.911
53,54,70,0.002,80.278,25.911
54,55,70,0.002,81.611,26.316
55,56,70,0.002,81.333,25.101
56,57,70,0.002,85.0,25.304
57,58,70,0.002,83.611,25.911
58,59,70,0.002,84.0,26.721
59,60,70,0.002,85.444,26.721
60,61,70,0.002,86.778,26.113
61,62,70,0.002,87.389,26.316
62,63,70,0.001,87.667,26.113
63,64,70,0.001,87.167,26.721
64,65,70,0.001,88.5,26.113
65,66,70,0.001,89.278,26.721
66,67,70,0.001,89.056,25.304
67,68,70,0.001,90.333,25.911
68,69,70,0.001,92.111,25.506
69,70,70,0.001,90.889,26.721
