,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.01,16.444,20.243
1,2,70,0.009,18.778,20.243
2,3,70,0.009,18.667,21.255
3,4,70,0.009,21.444,21.053
4,5,70,0.009,22.722,21.457
5,6,70,0.009,24.222,24.291
6,7,70,0.009,25.889,25.709
7,8,70,0.009,26.722,26.113
8,9,70,0.009,29.5,25.506
9,10,70,0.009,30.167,27.126
10,11,70,0.008,31.667,28.34
11,12,70,0.008,34.389,24.696
12,13,70,0.008,35.389,27.935
13,14,70,0.008,37.778,30.162
14,15,70,0.008,36.667,29.352
15,16,70,0.007,41.0,27.935
16,17,70,0.007,43.278,26.518
17,18,70,0.007,46.0,27.126
18,19,70,0.007,46.111,28.138
19,20,70,0.007,47.5,27.733
20,21,70,0.006,50.333,28.947
21,22,70,0.006,53.278,28.745
22,23,70,0.006,53.5,29.96
23,24,70,0.006,55.389,30.769
24,25,70,0.006,58.5,30.972
25,26,70,0.005,62.111,32.996
26,27,70,0.005,62.667,32.186
27,28,70,0.005,64.389,30.972
28,29,70,0.005,65.722,28.543
29,30,70,0.005,63.5,31.377
30,31,70,0.004,67.944,28.543
31,32,70,0.004,69.0,31.377
32,33,70,0.004,72.389,31.174
33,34,70,0.004,73.167,30.769
34,35,70,0.003,75.722,32.794
35,36,70,0.003,76.722,31.984
36,37,70,0.003,77.722,30.162
37,38,70,0.003,78.167,30.567
38,39,70,0.003,80.778,29.96
39,40,70,0.003,81.944,31.579
40,41,70,0.003,81.778,28.745
41,42,70,0.002,82.778,30.769
42,43,70,0.003,81.944,26.518
43,44,70,0.003,80.0,27.733
44,45,70,0.002,85.944,28.947
45,46,70,0.002,84.056,30.364
46,47,70,0.002,85.278,29.96
47,48,70,0.002,88.278,26.923
48,49,70,0.002,86.5,26.316
49,50,70,0.002,87.889,27.126
50,51,70,0.002,90.222,29.352
51,52,70,0.002,91.444,30.364
52,53,70,0.002,89.778,31.174
53,54,70,0.001,92.611,29.96
54,55,70,0.001,92.111,28.947
55,56,70,0.001,93.167,27.328
56,57,70,0.001,93.333,29.15
57,58,70,0.001,92.0,29.15
58,59,70,0.001,91.0,30.162
59,60,70,0.001,94.389,27.53
60,61,70,0.001,94.722,29.757
61,62,70,0.001,94.389,30.567
62,63,70,0.001,94.833,30.162
63,64,70,0.001,95.0,28.947
64,65,70,0.001,95.889,31.174
65,66,70,0.001,96.111,28.745
66,67,70,0.001,96.056,29.352
67,68,70,0.001,96.0,27.935
68,69,70,0.001,96.944,29.96
69,70,70,0.001,97.111,28.745
