,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.008,13.0,17.815
1,2,70,0.008,19.812,18.29
2,3,70,0.007,20.25,19.715
3,4,70,0.007,20.938,21.615
4,5,70,0.007,24.375,26.128
5,6,70,0.007,26.688,25.416
6,7,70,0.007,29.0,22.09
7,8,70,0.006,31.375,26.128
8,9,70,0.006,34.5,26.366
9,10,70,0.006,41.188,27.078
10,11,70,0.005,45.062,27.791
11,12,70,0.005,46.125,28.266
12,13,70,0.005,52.125,30.166
13,14,70,0.005,55.562,32.067
14,15,70,0.004,60.688,32.067
15,16,70,0.004,63.375,33.729
16,17,70,0.004,67.25,30.166
17,18,70,0.003,72.625,33.017
18,19,70,0.003,73.5,30.641
19,20,70,0.003,76.875,35.867
20,21,70,0.002,77.688,35.392
21,22,70,0.002,82.688,33.492
22,23,70,0.002,83.062,36.342
23,24,70,0.002,87.562,35.392
24,25,70,0.002,88.562,34.917
25,26,70,0.001,89.375,34.917
26,27,70,0.001,91.625,34.679
27,28,70,0.001,92.812,33.729
28,29,70,0.001,93.5,35.629
29,30,70,0.001,93.75,32.067
30,31,70,0.001,94.688,33.492
31,32,70,0.001,95.5,33.254
32,33,70,0.001,95.375,34.204
33,34,70,0.001,95.812,33.492
34,35,70,0.001,96.438,35.154
35,36,70,0.001,96.938,31.591
36,37,70,0.0,98.062,32.542
37,38,70,0.0,97.75,34.204
38,39,70,0.0,98.5,34.679
39,40,70,0.0,97.812,34.442
40,41,70,0.0,97.562,34.442
41,42,70,0.0,98.0,33.967
42,43,70,0.0,98.438,33.017
43,44,70,0.0,98.5,33.967
44,45,70,0.0,98.75,32.779
45,46,70,0.0,99.062,33.492
46,47,70,0.0,98.875,32.067
47,48,70,0.0,98.75,33.254
48,49,70,0.0,99.25,32.542
49,50,70,0.0,99.0,32.542
50,51,70,0.0,98.812,31.829
51,52,70,0.0,99.25,33.492
52,53,70,0.0,99.188,31.829
53,54,70,0.0,98.875,34.204
54,55,70,0.0,98.812,34.679
55,56,70,0.0,99.5,34.679
56,57,70,0.0,99.125,32.304
57,58,70,0.0,99.625,32.542
58,59,70,0.0,99.625,35.154
59,60,70,0.0,99.375,34.917
60,61,70,0.0,99.25,33.967
61,62,70,0.0,99.312,34.204
62,63,70,0.0,99.438,32.779
63,64,70,0.0,98.875,31.829
64,65,70,0.0,99.312,31.116
65,66,70,0.0,99.688,33.492
66,67,70,0.0,99.375,33.492
67,68,70,0.0,99.438,33.492
68,69,70,0.0,99.188,33.017
69,70,70,0.0,99.125,32.542
