,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.008,18.25,23.278
1,2,70,0.008,21.125,23.278
2,3,70,0.007,21.312,24.703
3,4,70,0.007,25.062,25.178
4,5,70,0.007,25.25,28.029
5,6,70,0.007,29.188,29.454
6,7,70,0.007,32.75,30.166
7,8,70,0.006,36.5,31.829
8,9,70,0.006,39.562,30.641
9,10,70,0.006,42.562,31.591
10,11,70,0.006,46.75,33.729
11,12,70,0.005,51.5,32.542
12,13,70,0.005,56.812,33.967
13,14,70,0.004,58.75,34.204
14,15,70,0.004,64.25,34.442
15,16,70,0.004,68.812,33.254
16,17,70,0.003,73.125,33.492
17,18,70,0.003,74.875,33.492
18,19,70,0.003,78.188,34.204
19,20,70,0.002,82.938,32.304
20,21,70,0.002,83.75,33.729
21,22,70,0.002,86.5,31.354
22,23,70,0.002,87.188,32.542
23,24,70,0.001,91.125,32.542
24,25,70,0.001,90.562,31.591
25,26,70,0.001,92.562,32.304
26,27,70,0.001,91.812,33.729
27,28,70,0.001,93.75,33.017
28,29,70,0.001,93.75,30.879
29,30,70,0.001,96.25,30.641
30,31,70,0.001,96.562,31.591
31,32,70,0.001,96.688,31.354
32,33,70,0.001,97.75,30.641
33,34,70,0.001,98.188,31.829
34,35,70,0.0,98.625,32.067
35,36,70,0.0,98.375,33.017
36,37,70,0.0,98.188,31.829
37,38,70,0.0,98.0,33.017
38,39,70,0.0,98.188,35.154
39,40,70,0.0,98.0,32.542
40,41,70,0.0,98.25,33.492
41,42,70,0.0,99.125,33.254
42,43,70,0.0,99.312,32.542
43,44,70,0.0,98.875,32.779
44,45,70,0.0,98.375,32.304
45,46,70,0.0,98.688,32.542
46,47,70,0.0,98.75,33.017
47,48,70,0.0,99.0,32.779
48,49,70,0.0,99.125,33.017
49,50,70,0.0,99.0,32.779
50,51,70,0.0,99.125,32.542
51,52,70,0.0,99.25,32.067
52,53,70,0.0,99.375,32.542
53,54,70,0.0,99.438,34.917
54,55,70,0.0,99.5,33.017
55,56,70,0.0,99.438,32.779
56,57,70,0.0,98.75,32.067
57,58,70,0.0,99.188,32.304
58,59,70,0.0,99.312,31.354
59,60,70,0.0,99.25,32.067
60,61,70,0.0,99.5,33.729
61,62,70,0.0,99.375,33.729
62,63,70,0.0,99.375,34.679
63,64,70,0.0,99.5,35.154
64,65,70,0.0,99.562,32.542
65,66,70,0.0,99.625,35.629
66,67,70,0.0,99.688,34.204
67,68,70,0.0,99.75,33.729
68,69,70,0.0,99.562,35.154
69,70,70,0.0,99.562,33.967
