,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.01,11.389,13.563
1,2,70,0.01,14.556,14.777
2,3,70,0.01,17.444,16.397
3,4,70,0.009,17.944,19.028
4,5,70,0.009,22.222,21.255
5,6,70,0.009,24.944,21.457
6,7,70,0.009,28.056,21.66
7,8,70,0.008,30.111,22.47
8,9,70,0.008,32.111,24.089
9,10,70,0.007,36.0,20.243
10,11,70,0.007,38.5,24.494
11,12,70,0.007,40.667,24.696
12,13,70,0.006,44.5,25.911
13,14,70,0.006,48.778,25.101
14,15,70,0.005,53.333,26.518
15,16,70,0.005,56.167,27.328
16,17,70,0.004,59.833,27.53
17,18,70,0.004,60.5,26.518
18,19,70,0.004,64.389,28.34
19,20,70,0.004,66.722,27.53
20,21,70,0.003,70.111,27.53
21,22,70,0.003,72.389,25.506
22,23,70,0.003,75.889,27.328
23,24,70,0.003,78.667,27.126
24,25,70,0.002,78.944,26.721
25,26,70,0.002,80.389,25.709
26,27,70,0.002,81.167,25.709
27,28,70,0.002,83.556,24.696
28,29,70,0.002,84.278,25.506
29,30,70,0.002,86.722,26.113
30,31,70,0.001,88.333,24.899
31,32,70,0.001,88.944,24.494
32,33,70,0.001,90.0,25.506
33,34,70,0.001,91.111,25.506
34,35,70,0.001,91.389,24.696
35,36,70,0.001,91.0,26.518
36,37,70,0.001,93.389,26.721
37,38,70,0.001,93.389,26.923
38,39,70,0.001,95.0,27.126
39,40,70,0.001,95.556,27.126
40,41,70,0.001,95.722,26.721
41,42,70,0.001,95.111,28.138
42,43,70,0.001,96.5,26.518
43,44,70,0.001,96.944,26.923
44,45,70,0.001,97.222,25.911
45,46,70,0.0,97.611,26.518
46,47,70,0.0,98.278,26.721
47,48,70,0.001,96.778,27.53
48,49,70,0.0,97.778,27.53
49,50,70,0.0,98.0,25.304
50,51,70,0.0,98.222,26.316
51,52,70,0.0,97.611,25.709
52,53,70,0.0,98.167,25.709
53,54,70,0.0,98.389,26.113
54,55,70,0.0,98.611,26.113
55,56,70,0.0,98.778,24.899
56,57,70,0.0,98.278,26.721
57,58,70,0.0,97.889,25.911
58,59,70,0.0,98.611,23.279
59,60,70,0.0,98.222,26.518
60,61,70,0.0,99.0,24.696
61,62,70,0.0,99.278,25.304
62,63,70,0.0,99.222,27.126
63,64,70,0.0,98.889,27.53
64,65,70,0.0,98.5,27.733
65,66,70,0.0,99.056,27.328
66,67,70,0.0,99.056,26.923
67,68,70,0.0,99.333,26.721
68,69,70,0.0,99.056,26.518
69,70,70,0.0,98.944,26.113
