,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.01,15.444,16.397
1,2,70,0.009,18.556,19.028
2,3,70,0.009,19.944,21.66
3,4,70,0.009,22.611,21.457
4,5,70,0.009,26.333,24.494
5,6,70,0.009,26.944,26.316
6,7,70,0.009,30.167,25.304
7,8,70,0.008,32.389,26.518
8,9,70,0.008,35.667,26.518
9,10,70,0.008,40.0,28.543
10,11,70,0.007,40.278,29.15
11,12,70,0.007,42.833,26.113
12,13,70,0.007,47.5,26.518
13,14,70,0.006,52.167,31.377
14,15,70,0.006,54.167,27.935
15,16,70,0.005,58.278,30.567
16,17,70,0.005,62.5,29.15
17,18,70,0.005,62.222,27.733
18,19,70,0.004,67.0,29.352
19,20,70,0.004,70.5,29.555
20,21,70,0.004,70.333,28.34
21,22,70,0.004,70.778,25.304
22,23,70,0.003,76.944,26.721
23,24,70,0.003,79.722,29.15
24,25,70,0.003,81.889,26.923
25,26,70,0.002,84.0,27.53
26,27,70,0.002,84.722,27.53
27,28,70,0.002,86.5,28.138
28,29,70,0.002,85.833,26.721
29,30,70,0.002,87.278,27.328
30,31,70,0.002,89.889,28.34
31,32,70,0.002,90.111,27.733
32,33,70,0.002,90.278,27.733
33,34,70,0.001,92.389,27.328
34,35,70,0.001,92.222,28.947
35,36,70,0.001,92.889,29.352
36,37,70,0.001,92.944,27.733
37,38,70,0.001,95.111,27.733
38,39,70,0.001,94.556,28.745
39,40,70,0.001,93.889,26.518
40,41,70,0.001,96.056,27.733
41,42,70,0.001,94.389,27.53
42,43,70,0.001,96.444,29.15
43,44,70,0.001,95.5,27.733
44,45,70,0.001,96.167,29.96
45,46,70,0.001,96.444,26.721
46,47,70,0.001,96.056,26.518
47,48,70,0.001,97.667,28.543
48,49,70,0.001,96.833,24.696
49,50,70,0.001,97.167,26.721
50,51,70,0.001,97.0,26.518
51,52,70,0.001,97.389,27.53
52,53,70,0.001,97.389,24.291
53,54,70,0.001,97.222,27.53
54,55,70,0.0,97.833,26.518
55,56,70,0.0,97.722,28.543
56,57,70,0.0,98.0,27.53
57,58,70,0.001,97.444,27.126
58,59,70,0.0,97.5,27.126
59,60,70,0.0,96.611,26.113
60,61,70,0.0,97.778,25.709
61,62,70,0.0,98.111,27.328
62,63,70,0.0,98.556,27.733
63,64,70,0.0,98.389,25.709
64,65,70,0.0,98.389,26.316
65,66,70,0.0,98.222,26.113
66,67,70,0.0,98.222,27.328
67,68,70,0.0,97.889,25.911
68,69,70,0.0,97.5,27.328
69,70,70,0.0,97.611,26.721
