,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.009,18.312,17.102
1,2,70,0.008,14.688,12.114
2,3,70,0.008,15.688,12.114
3,4,70,0.007,15.75,12.114
4,5,70,0.007,17.688,15.202
5,6,70,0.007,16.75,12.827
6,7,70,0.007,16.938,14.727
7,8,70,0.007,16.75,23.04
8,9,70,0.007,18.5,24.228
9,10,70,0.007,20.375,21.615
10,11,70,0.007,20.438,16.152
11,12,70,0.007,20.562,19.715
12,13,70,0.007,15.812,15.677
13,14,70,0.007,17.375,26.366
14,15,70,0.007,22.188,22.09
15,16,70,0.007,22.812,24.466
16,17,70,0.007,21.938,25.653
17,18,70,0.007,23.812,24.703
18,19,70,0.007,23.438,26.366
19,20,70,0.007,25.438,23.99
20,21,70,0.007,24.625,27.553
21,22,70,0.007,25.438,25.178
22,23,70,0.007,25.875,27.553
23,24,70,0.007,28.562,29.929
24,25,70,0.007,26.875,28.266
25,26,70,0.007,28.25,29.691
26,27,70,0.007,30.75,29.929
27,28,70,0.007,29.688,31.116
28,29,70,0.007,27.812,24.703
29,30,70,0.007,29.562,29.929
30,31,70,0.006,29.375,33.017
31,32,70,0.006,34.0,32.067
32,33,70,0.006,32.812,29.691
33,34,70,0.006,29.125,30.404
34,35,70,0.006,34.5,33.017
35,36,70,0.006,33.688,31.829
36,37,70,0.006,36.062,32.304
37,38,70,0.006,37.125,31.829
38,39,70,0.006,38.062,37.53
39,40,70,0.006,37.812,34.679
40,41,70,0.006,39.188,34.917
41,42,70,0.006,41.562,33.729
42,43,70,0.006,42.562,35.629
43,44,70,0.006,46.0,38.005
44,45,70,0.006,45.938,35.629
45,46,70,0.006,44.812,37.767
46,47,70,0.005,48.312,34.917
47,48,70,0.005,50.0,33.967
48,49,70,0.005,49.938,37.292
49,50,70,0.005,52.375,35.629
50,51,70,0.005,49.062,33.967
51,52,70,0.005,48.312,36.342
52,53,70,0.005,48.062,33.967
53,54,70,0.005,49.188,37.055
54,55,70,0.005,52.062,37.055
55,56,70,0.005,55.0,38.005
56,57,70,0.005,55.688,35.629
57,58,70,0.005,56.938,36.105
58,59,70,0.004,58.312,37.53
59,60,70,0.004,57.812,35.867
60,61,70,0.005,56.938,34.917
61,62,70,0.005,58.562,36.105
62,63,70,0.004,59.375,36.58
63,64,70,0.004,59.75,37.767
64,65,70,0.004,60.562,36.342
65,66,70,0.004,64.0,37.292
66,67,70,0.004,65.375,36.342
67,68,70,0.004,65.125,36.817
68,69,70,0.004,66.75,36.58
69,70,70,0.003,69.062,35.629
