,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.008,18.188,18.527
1,2,70,0.008,19.562,18.527
2,3,70,0.008,18.562,19.477
3,4,70,0.007,17.188,18.765
4,5,70,0.007,17.438,19.715
5,6,70,0.007,19.25,19.002
6,7,70,0.007,19.0,21.14
7,8,70,0.007,20.188,28.266
8,9,70,0.007,20.25,21.615
9,10,70,0.007,19.5,22.09
10,11,70,0.007,21.5,27.316
11,12,70,0.007,23.5,28.266
12,13,70,0.007,22.5,29.216
13,14,70,0.007,24.062,28.504
14,15,70,0.007,27.188,28.979
15,16,70,0.007,25.062,31.829
16,17,70,0.007,25.0,29.929
17,18,70,0.007,23.625,31.591
18,19,70,0.007,26.5,31.116
19,20,70,0.007,27.312,29.454
20,21,70,0.007,28.312,30.404
21,22,70,0.007,29.5,32.779
22,23,70,0.007,30.688,32.779
23,24,70,0.007,30.375,34.442
24,25,70,0.007,31.562,33.492
25,26,70,0.007,32.625,37.292
26,27,70,0.007,31.25,32.779
27,28,70,0.007,32.688,29.216
28,29,70,0.007,29.938,32.779
29,30,70,0.006,33.375,35.867
30,31,70,0.006,35.25,36.58
31,32,70,0.006,36.812,34.679
32,33,70,0.006,36.375,31.116
33,34,70,0.006,33.188,33.967
34,35,70,0.006,36.5,33.017
35,36,70,0.006,38.438,36.58
36,37,70,0.006,37.812,36.817
37,38,70,0.006,41.0,36.817
38,39,70,0.006,41.75,38.005
39,40,70,0.006,41.188,36.58
40,41,70,0.006,42.688,37.53
41,42,70,0.006,41.75,38.242
42,43,70,0.006,43.25,33.492
43,44,70,0.006,40.125,34.679
44,45,70,0.006,44.938,37.055
45,46,70,0.006,45.812,37.767
46,47,70,0.006,45.875,41.093
47,48,70,0.005,46.938,37.53
48,49,70,0.005,47.875,39.667
49,50,70,0.005,50.5,38.955
50,51,70,0.005,49.562,40.143
51,52,70,0.005,49.75,36.817
52,53,70,0.005,50.5,40.38
53,54,70,0.005,51.125,38.48
54,55,70,0.005,48.812,37.292
55,56,70,0.005,52.5,38.717
56,57,70,0.005,53.688,38.005
57,58,70,0.005,54.438,37.767
58,59,70,0.005,55.75,36.817
59,60,70,0.005,54.938,37.292
60,61,70,0.005,55.25,35.629
61,62,70,0.005,58.188,38.005
62,63,70,0.004,58.125,38.955
63,64,70,0.004,59.812,39.667
64,65,70,0.004,61.25,40.618
65,66,70,0.004,61.125,37.53
66,67,70,0.004,58.875,38.717
67,68,70,0.004,63.875,38.955
68,69,70,0.004,63.75,39.43
69,70,70,0.004,66.062,41.805
