,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.01,10.889,10.324
1,2,70,0.01,10.222,10.324
2,3,70,0.01,10.556,10.324
3,4,70,0.01,9.889,10.324
4,5,70,0.01,12.556,10.324
5,6,70,0.01,14.722,12.551
6,7,70,0.01,13.833,10.729
7,8,70,0.01,15.222,12.551
8,9,70,0.009,17.278,18.421
9,10,70,0.009,17.667,17.206
10,11,70,0.009,18.111,14.372
11,12,70,0.009,19.667,15.385
12,13,70,0.009,22.667,20.648
13,14,70,0.009,22.111,21.66
14,15,70,0.009,24.333,21.66
15,16,70,0.009,25.056,23.077
16,17,70,0.009,26.444,25.304
17,18,70,0.009,26.333,20.243
18,19,70,0.009,21.722,14.98
19,20,70,0.009,23.389,20.445
20,21,70,0.009,26.889,21.66
21,22,70,0.009,26.833,23.077
22,23,70,0.008,28.111,20.85
23,24,70,0.008,29.333,23.887
24,25,70,0.008,32.333,24.291
25,26,70,0.008,30.056,23.684
26,27,70,0.008,30.111,23.279
27,28,70,0.008,32.0,25.304
28,29,70,0.008,34.444,28.34
29,30,70,0.007,37.222,28.947
30,31,70,0.007,37.5,27.53
31,32,70,0.007,36.389,24.494
32,33,70,0.007,37.444,27.935
33,34,70,0.007,40.889,29.555
34,35,70,0.007,40.778,27.935
35,36,70,0.007,40.778,28.34
36,37,70,0.007,41.722,28.34
37,38,70,0.006,43.667,27.935
38,39,70,0.006,44.722,27.328
39,40,70,0.006,45.278,27.328
40,41,70,0.006,46.333,27.53
41,42,70,0.006,47.389,29.15
42,43,70,0.006,48.778,29.757
43,44,70,0.006,49.222,26.518
44,45,70,0.006,46.278,25.101
45,46,70,0.006,47.944,27.733
46,47,70,0.005,49.167,28.34
47,48,70,0.005,52.0,29.555
48,49,70,0.005,53.556,29.757
49,50,70,0.005,53.778,29.352
50,51,70,0.005,56.833,31.174
51,52,70,0.004,58.0,29.352
52,53,70,0.004,58.111,28.745
53,54,70,0.004,58.944,29.757
54,55,70,0.004,58.611,29.352
55,56,70,0.004,60.333,29.15
56,57,70,0.004,60.944,32.794
57,58,70,0.004,64.667,32.186
58,59,70,0.004,64.556,27.328
59,60,70,0.004,65.667,28.34
60,61,70,0.004,63.944,29.555
61,62,70,0.004,65.611,29.15
62,63,70,0.004,66.889,29.352
63,64,70,0.003,69.0,29.757
64,65,70,0.003,71.778,28.34
65,66,70,0.003,67.5,28.745
66,67,70,0.003,70.167,31.174
67,68,70,0.003,71.5,29.757
68,69,70,0.003,71.111,28.745
69,70,70,0.003,69.5,29.352
