,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.01,15.889,16.194
1,2,70,0.01,16.222,16.194
2,3,70,0.009,17.333,17.611
3,4,70,0.009,17.056,17.004
4,5,70,0.009,17.0,17.409
5,6,70,0.009,19.444,19.231
6,7,70,0.009,21.333,22.47
7,8,70,0.009,21.722,23.482
8,9,70,0.009,22.278,18.016
9,10,70,0.009,21.5,23.684
10,11,70,0.009,24.389,21.255
11,12,70,0.009,26.0,27.733
12,13,70,0.009,25.111,24.899
13,14,70,0.009,25.0,28.138
14,15,70,0.009,25.722,26.721
15,16,70,0.009,28.056,30.769
16,17,70,0.009,29.667,27.53
17,18,70,0.009,30.222,29.15
18,19,70,0.008,32.667,28.745
19,20,70,0.008,32.167,27.328
20,21,70,0.008,32.333,25.304
21,22,70,0.009,31.5,31.781
22,23,70,0.008,34.667,32.591
23,24,70,0.008,34.889,31.377
24,25,70,0.008,36.611,31.579
25,26,70,0.008,38.222,32.591
26,27,70,0.008,38.611,32.186
27,28,70,0.008,39.333,33.806
28,29,70,0.008,39.944,31.984
29,30,70,0.008,41.833,31.377
30,31,70,0.007,42.889,33.401
31,32,70,0.007,42.667,34.008
32,33,70,0.007,43.611,30.769
33,34,70,0.007,44.5,33.401
34,35,70,0.007,44.167,30.162
35,36,70,0.007,44.778,30.769
36,37,70,0.007,44.556,30.162
37,38,70,0.007,42.889,33.198
38,39,70,0.007,45.5,31.579
39,40,70,0.007,47.611,32.389
40,41,70,0.006,51.0,34.615
41,42,70,0.006,51.222,33.603
42,43,70,0.006,49.333,34.211
43,44,70,0.006,52.278,35.02
44,45,70,0.006,53.778,34.818
45,46,70,0.006,55.611,34.615
46,47,70,0.006,54.0,35.425
47,48,70,0.006,56.444,35.02
48,49,70,0.005,58.833,34.413
49,50,70,0.005,58.667,35.02
50,51,70,0.005,58.833,33.806
51,52,70,0.005,60.056,34.008
52,53,70,0.005,63.167,32.591
53,54,70,0.005,63.0,33.603
54,55,70,0.005,61.056,31.781
55,56,70,0.005,63.889,33.198
56,57,70,0.005,64.0,32.186
57,58,70,0.005,66.444,34.211
58,59,70,0.004,66.333,35.223
59,60,70,0.004,68.444,31.781
60,61,70,0.004,70.833,33.806
61,62,70,0.004,72.667,33.806
62,63,70,0.005,62.611,28.138
63,64,70,0.005,61.222,32.389
64,65,70,0.005,62.222,34.615
65,66,70,0.004,69.111,32.996
66,67,70,0.004,71.944,34.211
67,68,70,0.004,73.889,34.008
68,69,70,0.003,76.611,33.806
69,70,70,0.003,78.167,32.996
