,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.009,13.812,12.114
1,2,70,0.008,12.0,12.114
2,3,70,0.007,16.125,12.114
3,4,70,0.007,17.125,12.114
4,5,70,0.007,16.25,12.114
5,6,70,0.007,14.688,16.152
6,7,70,0.007,18.562,19.477
7,8,70,0.007,22.062,23.515
8,9,70,0.007,24.938,25.891
9,10,70,0.007,25.188,24.703
10,11,70,0.007,27.062,24.703
11,12,70,0.007,27.5,25.653
12,13,70,0.006,31.5,26.366
13,14,70,0.006,33.062,24.228
14,15,70,0.006,34.75,27.316
15,16,70,0.006,39.25,27.791
16,17,70,0.006,41.812,31.591
17,18,70,0.006,43.438,33.254
18,19,70,0.006,44.188,33.254
19,20,70,0.005,45.375,33.729
20,21,70,0.005,48.938,33.492
21,22,70,0.005,47.562,27.316
22,23,70,0.005,45.625,30.404
23,24,70,0.005,47.562,31.354
24,25,70,0.005,53.188,33.967
25,26,70,0.005,55.812,37.292
26,27,70,0.004,59.562,37.055
27,28,70,0.004,62.0,35.867
28,29,70,0.004,63.938,38.48
29,30,70,0.004,66.188,34.442
30,31,70,0.003,67.125,37.767
31,32,70,0.003,69.875,37.767
32,33,70,0.003,71.75,37.055
33,34,70,0.003,74.375,37.767
34,35,70,0.003,77.0,38.955
35,36,70,0.002,78.625,38.955
36,37,70,0.002,77.5,37.055
37,38,70,0.003,75.312,39.192
38,39,70,0.002,79.938,38.242
39,40,70,0.002,82.5,37.055
40,41,70,0.002,84.0,38.48
41,42,70,0.002,84.75,37.53
42,43,70,0.002,85.625,39.43
43,44,70,0.002,85.625,38.005
44,45,70,0.001,88.188,38.48
45,46,70,0.001,88.062,40.143
46,47,70,0.002,86.875,39.905
47,48,70,0.001,88.375,39.192
48,49,70,0.001,89.625,40.618
49,50,70,0.001,89.875,38.955
50,51,70,0.001,91.25,37.53
51,52,70,0.001,92.688,40.618
52,53,70,0.001,93.625,41.568
53,54,70,0.001,94.312,41.568
54,55,70,0.001,94.938,40.38
55,56,70,0.001,94.812,37.292
56,57,70,0.001,94.062,40.38
57,58,70,0.001,94.812,36.58
58,59,70,0.001,95.438,35.629
59,60,70,0.001,95.688,38.242
60,61,70,0.001,93.375,37.292
61,62,70,0.001,91.688,40.143
62,63,70,0.001,92.125,34.917
63,64,70,0.001,93.5,35.392
64,65,70,0.001,93.438,38.005
65,66,70,0.001,96.0,36.817
66,67,70,0.0,96.812,39.192
67,68,70,0.0,96.625,41.33
68,69,70,0.0,97.312,40.143
69,70,70,0.0,97.75,41.093
