,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.009,16.688,20.665
1,2,70,0.008,19.625,19.477
2,3,70,0.008,20.312,19.002
3,4,70,0.007,18.125,23.278
4,5,70,0.007,18.5,19.952
5,6,70,0.007,22.375,26.603
6,7,70,0.007,23.125,29.691
7,8,70,0.007,25.062,27.316
8,9,70,0.007,25.812,30.879
9,10,70,0.007,28.0,31.116
10,11,70,0.007,26.875,30.404
11,12,70,0.007,29.25,31.591
12,13,70,0.007,31.125,33.967
13,14,70,0.006,33.375,35.154
14,15,70,0.006,34.75,34.917
15,16,70,0.006,37.125,34.442
16,17,70,0.006,39.562,37.055
17,18,70,0.006,42.188,37.292
18,19,70,0.006,44.562,35.392
19,20,70,0.006,48.438,36.342
20,21,70,0.005,47.875,34.442
21,22,70,0.006,48.312,37.292
22,23,70,0.005,52.5,35.629
23,24,70,0.005,52.75,38.005
24,25,70,0.005,54.312,38.717
25,26,70,0.005,56.938,38.955
26,27,70,0.005,58.875,38.717
27,28,70,0.004,59.875,39.43
28,29,70,0.004,61.5,40.143
29,30,70,0.004,65.5,38.717
30,31,70,0.004,67.188,38.005
31,32,70,0.004,68.875,40.143
32,33,70,0.004,69.062,38.005
33,34,70,0.003,72.062,41.568
34,35,70,0.003,74.75,40.38
35,36,70,0.003,75.562,41.568
36,37,70,0.003,76.938,42.755
37,38,70,0.003,77.688,42.043
38,39,70,0.002,79.875,38.48
39,40,70,0.002,80.75,41.093
40,41,70,0.002,81.75,39.667
41,42,70,0.002,83.5,43.23
42,43,70,0.002,84.062,39.905
43,44,70,0.002,86.375,41.568
44,45,70,0.002,88.562,41.33
45,46,70,0.001,89.625,43.705
46,47,70,0.001,89.312,41.093
47,48,70,0.001,89.25,40.143
48,49,70,0.001,90.75,42.043
49,50,70,0.001,89.5,40.618
50,51,70,0.001,92.188,41.093
51,52,70,0.001,92.812,41.568
52,53,70,0.001,92.875,40.855
53,54,70,0.001,92.0,39.192
54,55,70,0.001,89.5,37.767
55,56,70,0.001,87.125,38.005
56,57,70,0.001,88.312,38.717
57,58,70,0.001,93.312,40.855
58,59,70,0.001,95.312,39.905
59,60,70,0.001,95.938,40.855
60,61,70,0.001,96.25,39.905
61,62,70,0.0,97.438,40.618
62,63,70,0.0,97.75,39.43
63,64,70,0.0,98.0,39.43
64,65,70,0.0,98.438,43.468
65,66,70,0.0,98.0,41.805
66,67,70,0.0,98.562,42.28
67,68,70,0.0,98.875,41.805
68,69,70,0.0,99.0,42.043
69,70,70,0.0,98.938,40.855
