,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.01,7.833,12.753
1,2,70,0.01,13.667,13.765
2,3,70,0.01,15.167,13.968
3,4,70,0.01,17.222,14.98
4,5,70,0.009,19.5,17.611
5,6,70,0.009,19.611,15.587
6,7,70,0.009,20.389,17.611
7,8,70,0.009,22.278,18.219
8,9,70,0.009,26.722,19.636
9,10,70,0.008,29.167,18.826
10,11,70,0.008,29.0,20.648
11,12,70,0.008,33.667,22.47
12,13,70,0.007,34.833,20.445
13,14,70,0.007,35.389,25.506
14,15,70,0.007,37.278,24.696
15,16,70,0.007,41.056,24.696
16,17,70,0.006,42.111,25.709
17,18,70,0.006,46.389,28.138
18,19,70,0.006,47.111,27.53
19,20,70,0.005,50.444,28.947
20,21,70,0.005,51.056,24.089
21,22,70,0.005,55.111,30.364
22,23,70,0.005,57.278,28.138
23,24,70,0.004,58.778,24.089
24,25,70,0.004,58.222,27.126
25,26,70,0.004,60.611,27.733
26,27,70,0.004,59.778,27.935
27,28,70,0.004,61.222,27.126
28,29,70,0.004,63.389,29.555
29,30,70,0.003,68.722,31.781
30,31,70,0.003,71.944,32.186
31,32,70,0.003,72.333,34.211
32,33,70,0.003,73.222,31.579
33,34,70,0.003,73.222,30.364
34,35,70,0.003,73.167,31.781
35,36,70,0.002,75.667,29.15
36,37,70,0.002,76.778,31.579
37,38,70,0.002,79.222,31.781
38,39,70,0.002,82.167,33.806
39,40,70,0.002,85.111,32.794
40,41,70,0.002,84.611,34.008
41,42,70,0.001,85.278,34.008
42,43,70,0.001,87.833,33.603
43,44,70,0.001,88.278,34.211
44,45,70,0.001,90.0,32.591
45,46,70,0.001,89.333,33.198
46,47,70,0.001,90.556,32.186
47,48,70,0.001,90.889,33.198
48,49,70,0.001,92.444,34.008
49,50,70,0.001,90.056,29.15
50,51,70,0.001,88.111,29.96
51,52,70,0.001,90.833,30.972
52,53,70,0.001,91.833,35.02
53,54,70,0.001,93.056,32.794
54,55,70,0.001,92.389,31.579
55,56,70,0.001,89.833,25.709
56,57,70,0.003,75.556,28.745
57,58,70,0.003,76.389,32.186
58,59,70,0.002,84.5,32.389
59,60,70,0.001,88.833,33.401
60,61,70,0.001,92.167,34.413
61,62,70,0.001,94.056,34.818
62,63,70,0.001,96.222,35.425
63,64,70,0.001,97.056,35.223
64,65,70,0.0,96.889,35.425
65,66,70,0.0,98.056,34.615
66,67,70,0.0,98.389,35.02
67,68,70,0.0,98.222,34.413
68,69,70,0.0,98.111,35.02
69,70,70,0.0,98.278,34.211
