,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.002,27.5,43.836
1,2,20,0.011,42.5,35.616
2,3,20,0.004,50.5,39.726
3,4,20,0.003,50.5,31.507
4,5,20,0.002,59.5,45.205
5,6,20,0.001,67.5,35.616
6,7,20,0.001,68.0,58.904
7,8,20,0.001,80.5,43.836
8,9,20,0.001,72.0,46.575
9,10,20,0.0,86.5,53.425
10,11,20,0.0,88.0,54.795
11,12,20,0.0,91.0,46.575
12,13,20,0.0,94.0,42.466
13,14,20,0.0,89.0,46.575
14,15,20,0.0,94.5,53.425
15,16,20,0.0,99.0,53.425
16,17,20,0.0,96.0,56.164
17,18,20,0.0,99.5,56.164
18,19,20,0.0,99.5,53.425
19,20,20,0.0,98.5,56.164
