,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.005,27.0,35.616
1,2,20,0.007,34.0,45.205
2,3,20,0.002,58.5,43.836
3,4,20,0.002,55.0,45.205
4,5,20,0.001,64.5,41.096
5,6,20,0.001,64.5,43.836
6,7,20,0.001,77.0,52.055
7,8,20,0.001,70.0,57.534
8,9,20,0.0,83.5,52.055
9,10,20,0.0,83.5,46.575
10,11,20,0.0,87.0,54.795
11,12,20,0.0,91.0,58.904
12,13,20,0.0,90.5,63.014
13,14,20,0.0,96.0,45.205
14,15,20,0.0,94.5,46.575
15,16,20,0.0,96.0,63.014
16,17,20,0.0,98.0,63.014
17,18,20,0.0,97.0,58.904
18,19,20,0.0,97.5,56.164
19,20,20,0.0,98.5,60.274
