,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.03,22.25,27.791
1,2,20,0.013,37.188,32.304
2,3,20,0.01,55.125,35.629
3,4,20,0.008,63.938,34.679
4,5,20,0.007,70.562,39.43
5,6,20,0.006,75.438,40.143
6,7,20,0.004,82.688,43.705
7,8,20,0.003,89.75,42.28
8,9,20,0.002,92.938,42.518
9,10,20,0.002,94.625,41.093
10,11,20,0.001,98.0,43.705
11,12,20,0.001,99.0,41.568
12,13,20,0.0,99.5,42.28
13,14,20,0.0,99.5,44.181
14,15,20,0.0,99.625,44.181
15,16,20,0.0,100.0,44.893
16,17,20,0.0,100.0,42.993
17,18,20,0.0,100.0,43.705
18,19,20,0.0,100.0,44.418
19,20,20,0.0,100.0,44.893
