,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.025,22.812,25.891
1,2,20,0.012,43.5,38.242
2,3,20,0.009,57.625,41.33
3,4,20,0.008,66.812,42.518
4,5,20,0.006,77.875,42.043
5,6,20,0.004,83.312,42.518
6,7,20,0.003,88.812,39.667
7,8,20,0.002,93.312,40.618
8,9,20,0.002,96.375,40.38
9,10,20,0.002,94.875,39.905
10,11,20,0.001,96.125,39.905
11,12,20,0.001,98.438,40.143
12,13,20,0.0,99.5,37.53
13,14,20,0.0,99.875,39.667
14,15,20,0.0,99.938,40.855
15,16,20,0.0,100.0,39.192
16,17,20,0.0,100.0,39.905
17,18,20,0.0,100.0,40.38
18,19,20,0.0,100.0,38.48
19,20,20,0.0,100.0,39.43
