,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.026,15.526,19.028
1,2,20,0.017,33.105,30.162
2,3,20,0.014,45.474,25.911
3,4,20,0.011,58.842,32.186
4,5,20,0.008,68.316,30.972
5,6,20,0.006,76.895,29.352
6,7,20,0.004,82.842,33.198
7,8,20,0.003,88.158,30.769
8,9,20,0.002,90.947,31.984
9,10,20,0.001,95.211,34.211
10,11,20,0.001,96.684,34.211
11,12,20,0.001,97.474,30.972
12,13,20,0.001,98.895,31.984
13,14,20,0.0,99.368,33.198
14,15,20,0.0,100.0,33.806
15,16,20,0.0,99.947,33.603
16,17,20,0.0,100.0,32.996
17,18,20,0.0,100.0,34.008
18,19,20,0.0,100.0,32.996
19,20,20,0.0,100.0,34.008
