,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.025,21.579,30.769
1,2,20,0.017,39.421,32.389
2,3,20,0.014,50.895,31.174
3,4,20,0.011,62.789,31.984
4,5,20,0.008,72.526,35.628
5,6,20,0.006,81.842,36.437
6,7,20,0.004,86.684,32.996
7,8,20,0.003,91.211,32.389
8,9,20,0.002,96.474,34.413
9,10,20,0.001,97.263,33.401
10,11,20,0.001,98.526,36.235
11,12,20,0.001,99.105,33.401
12,13,20,0.001,98.842,35.628
13,14,20,0.0,99.579,37.045
14,15,20,0.0,99.789,32.996
15,16,20,0.0,99.947,35.02
16,17,20,0.0,100.0,35.223
17,18,20,0.0,100.0,35.02
18,19,20,0.0,100.0,35.628
19,20,20,0.0,100.0,36.437
