,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.002,35.0,20.548
1,2,20,0.007,28.5,43.836
2,3,20,0.006,39.0,35.616
3,4,20,0.004,45.0,50.685
4,5,20,0.002,39.0,24.658
5,6,20,0.002,35.5,49.315
6,7,20,0.002,44.0,35.616
7,8,20,0.001,44.5,54.795
8,9,20,0.001,55.0,49.315
9,10,20,0.001,62.0,45.205
10,11,20,0.001,64.0,35.616
11,12,20,0.001,51.5,39.726
12,13,20,0.001,67.0,35.616
13,14,20,0.001,66.0,39.726
14,15,20,0.001,77.0,42.466
15,16,20,0.001,80.0,42.466
16,17,20,0.001,87.5,42.466
17,18,20,0.001,76.5,46.575
18,19,20,0.001,87.5,42.466
19,20,20,0.001,81.0,42.466
