,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.002,25.0,35.616
1,2,20,0.008,31.0,27.397
2,3,20,0.002,41.0,49.315
3,4,20,0.003,43.5,43.836
4,5,20,0.002,52.0,49.315
5,6,20,0.001,37.5,26.027
6,7,20,0.001,38.0,50.685
7,8,20,0.001,48.0,49.315
8,9,20,0.001,63.5,34.247
9,10,20,0.001,51.0,50.685
10,11,20,0.001,64.0,49.315
11,12,20,0.001,59.0,49.315
12,13,20,0.001,76.5,47.945
13,14,20,0.001,76.0,50.685
14,15,20,0.001,70.5,42.466
15,16,20,0.001,78.5,49.315
16,17,20,0.001,63.0,36.986
17,18,20,0.001,71.0,43.836
18,19,20,0.001,76.5,50.685
19,20,20,0.001,70.5,42.466
