,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.029,16.938,18.765
1,2,20,0.016,22.0,25.653
2,3,20,0.013,35.188,24.466
3,4,20,0.013,35.75,33.017
4,5,20,0.012,44.625,31.354
5,6,20,0.011,51.812,25.891
6,7,20,0.01,51.875,30.404
7,8,20,0.009,58.062,30.879
8,9,20,0.009,58.5,30.166
9,10,20,0.008,66.688,34.679
10,11,20,0.007,69.562,31.354
11,12,20,0.007,68.938,32.542
12,13,20,0.006,71.125,27.078
13,14,20,0.007,67.562,24.941
14,15,20,0.007,69.812,30.641
15,16,20,0.005,77.75,30.404
16,17,20,0.004,80.312,35.154
17,18,20,0.004,81.188,28.029
18,19,20,0.004,85.312,31.116
19,20,20,0.004,81.562,29.929
