,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.025,18.812,17.34
1,2,20,0.015,25.875,18.29
2,3,20,0.013,31.312,24.228
3,4,20,0.012,38.25,30.641
4,5,20,0.011,47.0,32.304
5,6,20,0.011,51.625,34.204
6,7,20,0.01,52.75,32.542
7,8,20,0.009,57.125,33.729
8,9,20,0.009,60.75,29.691
9,10,20,0.008,68.5,28.741
10,11,20,0.008,64.25,28.266
11,12,20,0.008,63.688,30.166
12,13,20,0.007,70.562,29.929
13,14,20,0.006,72.812,28.741
14,15,20,0.006,75.562,34.679
15,16,20,0.005,81.375,31.354
16,17,20,0.005,76.625,32.542
17,18,20,0.005,79.375,36.105
18,19,20,0.004,80.75,33.254
19,20,20,0.003,88.125,34.204
