,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.037,11.579,10.526
1,2,20,0.021,17.158,15.182
2,3,20,0.02,23.684,18.016
3,4,20,0.018,30.632,20.243
4,5,20,0.017,36.947,15.789
5,6,20,0.016,39.684,24.696
6,7,20,0.015,45.263,21.053
7,8,20,0.014,46.053,20.243
8,9,20,0.013,47.789,17.611
9,10,20,0.012,55.0,23.077
10,11,20,0.01,60.842,25.709
11,12,20,0.01,62.789,25.304
12,13,20,0.009,67.474,21.457
13,14,20,0.008,71.684,24.494
14,15,20,0.008,70.053,24.494
15,16,20,0.006,74.526,20.648
16,17,20,0.006,76.895,23.279
17,18,20,0.005,79.684,25.709
18,19,20,0.004,83.737,24.089
19,20,20,0.005,78.105,25.709
