,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.033,14.842,21.862
1,2,20,0.02,24.789,21.457
2,3,20,0.018,31.053,24.494
3,4,20,0.017,35.053,23.279
4,5,20,0.016,39.158,26.923
5,6,20,0.015,45.316,27.126
6,7,20,0.014,48.947,27.733
7,8,20,0.014,50.526,27.126
8,9,20,0.012,57.684,29.555
9,10,20,0.011,60.737,27.733
10,11,20,0.01,65.158,26.923
11,12,20,0.009,70.211,26.518
12,13,20,0.009,69.211,28.34
13,14,20,0.009,69.947,25.101
14,15,20,0.007,74.421,27.53
15,16,20,0.006,80.842,25.911
16,17,20,0.007,76.316,22.47
17,18,20,0.006,81.368,28.138
18,19,20,0.004,86.211,25.709
19,20,20,0.004,88.053,24.494
