,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.002,30.5,32.877
1,2,20,0.002,38.5,23.288
2,3,20,0.001,42.0,43.836
3,4,20,0.001,66.0,43.836
4,5,20,0.001,59.0,36.986
5,6,20,0.001,66.5,56.164
6,7,20,0.001,82.5,57.534
7,8,20,0.0,89.5,60.274
8,9,20,0.0,83.5,61.644
9,10,20,0.0,90.0,57.534
10,11,20,0.0,94.0,57.534
11,12,20,0.0,94.5,64.384
12,13,20,0.0,90.5,63.014
13,14,20,0.0,97.0,63.014
14,15,20,0.0,98.5,60.274
15,16,20,0.0,96.5,61.644
16,17,20,0.0,99.0,61.644
17,18,20,0.0,98.5,58.904
18,19,20,0.0,97.5,58.904
19,20,20,0.0,100.0,60.274
