,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.002,26.5,35.616
1,2,20,0.003,39.0,43.836
2,3,20,0.002,43.5,28.767
3,4,20,0.001,52.0,39.726
4,5,20,0.001,59.5,57.534
5,6,20,0.001,64.0,58.904
6,7,20,0.001,83.0,49.315
7,8,20,0.001,75.5,57.534
8,9,20,0.0,77.5,54.795
9,10,20,0.0,86.5,52.055
10,11,20,0.0,84.0,64.384
11,12,20,0.0,90.5,56.164
12,13,20,0.0,93.0,60.274
13,14,20,0.0,92.0,67.123
14,15,20,0.0,95.0,64.384
15,16,20,0.0,95.5,67.123
16,17,20,0.0,96.5,63.014
17,18,20,0.0,99.5,63.014
18,19,20,0.0,98.5,58.904
19,20,20,0.0,98.5,63.014
