,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.015,22.562,30.404
1,2,20,0.011,47.875,41.33
2,3,20,0.009,59.812,38.48
3,4,20,0.007,71.625,42.755
4,5,20,0.005,78.938,44.656
5,6,20,0.004,88.25,40.618
6,7,20,0.003,88.938,41.093
7,8,20,0.002,93.875,43.943
8,9,20,0.001,97.062,42.043
9,10,20,0.001,97.375,39.905
10,11,20,0.001,99.0,43.468
11,12,20,0.0,99.562,42.993
12,13,20,0.0,99.875,45.368
13,14,20,0.0,99.938,44.893
14,15,20,0.0,99.812,42.518
15,16,20,0.0,100.0,43.705
16,17,20,0.0,100.0,44.418
17,18,20,0.0,100.0,44.181
18,19,20,0.0,100.0,43.23
19,20,20,0.0,100.0,43.468
