,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.016,22.625,35.154
1,2,20,0.012,42.688,33.492
2,3,20,0.01,53.0,40.143
3,4,20,0.008,66.688,42.043
4,5,20,0.006,76.438,46.318
5,6,20,0.004,84.125,47.031
6,7,20,0.003,90.625,44.893
7,8,20,0.002,95.125,43.943
8,9,20,0.001,97.25,43.23
9,10,20,0.001,97.125,44.418
10,11,20,0.001,98.875,44.418
11,12,20,0.001,99.062,44.418
12,13,20,0.0,99.375,43.468
13,14,20,0.0,99.938,46.793
14,15,20,0.0,100.0,45.843
15,16,20,0.0,100.0,45.843
16,17,20,0.0,100.0,45.606
17,18,20,0.0,100.0,46.318
18,19,20,0.0,100.0,45.606
19,20,20,0.0,100.0,45.606
