,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.022,16.316,22.47
1,2,20,0.017,30.0,26.518
2,3,20,0.014,48.895,31.781
3,4,20,0.011,61.474,33.806
4,5,20,0.008,68.368,32.996
5,6,20,0.006,78.053,36.842
6,7,20,0.004,83.579,36.437
7,8,20,0.003,91.158,37.652
8,9,20,0.002,93.842,38.259
9,10,20,0.001,96.684,34.413
10,11,20,0.001,98.211,37.247
11,12,20,0.001,99.316,37.045
12,13,20,0.0,99.737,36.235
13,14,20,0.0,99.895,38.664
14,15,20,0.0,99.947,38.866
15,16,20,0.0,100.0,37.854
16,17,20,0.0,100.0,38.664
17,18,20,0.0,100.0,37.854
18,19,20,0.0,100.0,36.842
19,20,20,0.0,100.0,37.854
