,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,20,0.022,19.474,26.923
1,2,20,0.017,38.368,31.984
2,3,20,0.014,51.263,33.401
3,4,20,0.011,60.316,32.996
4,5,20,0.008,72.105,34.413
5,6,20,0.006,79.842,39.271
6,7,20,0.005,84.526,36.437
7,8,20,0.004,90.158,38.462
8,9,20,0.002,95.211,37.854
9,10,20,0.002,97.316,39.879
10,11,20,0.001,98.737,35.628
11,12,20,0.001,99.474,38.664
12,13,20,0.0,99.895,38.259
13,14,20,0.0,99.947,38.259
14,15,20,0.0,99.947,37.652
15,16,20,0.0,100.0,37.247
16,17,20,0.0,100.0,38.259
17,18,20,0.0,100.0,38.259
18,19,20,0.0,100.0,38.057
19,20,20,0.0,100.0,37.449
